Rank,Name,Points,Game Time,Kills,Deaths,Kpd,Hs,Country
360,Tho san bach kim,"1,002",0d 00:01h,0,0,0.00,0,Viet Nam
361,宝宝,"1,001",0d 00:02h,0,0,0.00,0,China
362,樱道,"1,001",0d 00:00h,0,0,0.00,0,Unknown
363,dungra,"1,001",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
364,Juan_zhou,"1,001",0d 00:04h,0,0,0.00,0,China
365,RuggedStool,"1,001",0d 00:02h,0,0,0.00,0,Australia
366,sjzshmh,"1,001",0d 00:01h,0,0,0.00,0,China
367,vvarsani,"1,001",0d 00:01h,0,0,0.00,0,Australia
368,DB_Toc,"1,001",0d 00:01h,0,0,0.00,0,China
369,Andrew,"1,001",0d 00:05h,0,0,0.00,0,Indonesia
370,ЅPiRiT ™ | 0.03ms香蕉,"1,001",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
371,hagiaminh1411,"1,001",0d 00:02h,0,0,0.00,0,Viet Nam
372,Jeff Nobu,"1,001",0d 00:01h,0,0,0.00,0,"Taiwan, Province of China"
373,新手請見諒,"1,001",0d 00:01h,0,0,0.00,0,"Taiwan, Province of China"
374,Chris,"1,001",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
375,Elopez,"1,001",0d 00:01h,0,0,0.00,0,China
376,salimbaranov82,"1,001",0d 00:08h,0,0,0.00,0,China
377,方大帅,"1,001",0d 00:01h,0,0,0.00,0,China
378,桃酥,"1,001",0d 00:00h,0,0,0.00,0,China
379,wtf,"1,001",0d 00:00h,0,0,0.00,0,China
380,饭醉分子,"1,001",0d 00:02h,0,0,0.00,0,China
381,Noobgamer610,"1,001",0d 00:04h,0,0,0.00,0,Philippines
382,SPEEDDEMON tenz jr. (phoon),"1,001",0d 00:01h,0,0,0.00,0,Philippines
383,LEESEO,"1,001",0d 00:02h,0,0,0.00,0,Thailand
384,Mr.Pedobear ver. 86000,"1,001",0d 00:01h,0,0,0.00,0,Thailand
385,腿毛拔河,"1,001",0d 00:03h,0,0,0.00,0,China
386,Corona,"1,001",0d 00:01h,0,0,0.00,0,Australia
387,phunguyen07,"1,001",0d 00:00h,0,0,0.00,0,Viet Nam
388,бателе бату,"1,001",0d 00:02h,0,0,0.00,0,Philippines
389,B哥,"1,001",0d 00:01h,0,0,0.00,0,China
390,yung kage 死 BESTARD,"1,001",0d 00:00h,0,0,0.00,0,Russian Federation
391,E1n,"1,001",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
392,tone,"1,001",0d 00:00h,0,0,0.00,0,Philippines
393,Sinigang,"1,001",0d 00:01h,0,0,0.00,0,Philippines
394,jzysznd,"1,001",0d 00:01h,0,0,0.00,0,China
395,ПРЕКРАСНО,"1,001",0d 00:01h,0,0,0.00,0,Russian Federation
396,麦田里的守望者,"1,001",0d 00:01h,0,0,0.00,0,China
397,JanOh,"1,001",0d 00:02h,0,0,0.00,0,Philippines
398,love_45612,"1,001",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
399,Gatty,"1,001",0d 00:01h,0,0,0.00,0,China
400,流心月饼,"1,001",0d 00:02h,0,0,0.00,0,China
401,VietCongGangz,"1,000",0d 00:03h,5,0,5.00,3,Viet Nam
402,[TW]天黑洗馬眼,"1,000",0d 00:09h,2,3,0.67,1,"Taiwan, Province of China"
403,Capt.Fcuk,"1,000",0d 00:15h,5,10,0.50,3,Thailand
404,不响完啦,"1,000",0d 00:13h,3,8,0.38,1,China
405,／人◕ ‿‿ ◕人＼,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
406,Lowell,"1,000",0d 00:00h,0,0,0.00,0,China
407,Wends,"1,000",0d 00:00h,0,0,0.00,0,Thailand
408,白脸,"1,000",0d 00:00h,0,0,0.00,0,Unknown
409,metal43v3r,"1,000",0d 00:00h,0,0,0.00,0,Thailand
410,Self-adjusting,"1,000",0d 00:00h,0,0,0.00,0,China
411,Virkato,"1,000",0d 00:00h,0,0,0.00,0,Singapore
412,dslocsin7,"1,000",0d 00:02h,0,0,0.00,0,Philippines
413,不关橙猫猫的事哦,"1,000",0d 00:09h,0,0,0.00,0,China
414,PIWW,"1,000",0d 00:11h,0,0,0.00,0,Indonesia
415,ヒーローネコ,"1,000",0d 00:46h,0,0,0.00,0,Malaysia
416,夢華（梦华） モンファ,"1,000",0d 00:00h,0,0,0.00,0,Thailand
417,Allahu Akbar,"1,000",0d 00:00h,0,0,0.00,0,Unknown
418,QualitySoup,"1,000",0d 00:00h,0,0,0.00,0,Unknown
419,sNICkER_101,"1,000",0d 00:00h,0,0,0.00,0,Hong Kong
420,我还有机会吗 ？,"1,000",0d 00:04h,0,0,0.00,0,China
421,꽃보????!,"1,000",0d 00:06h,0,0,0.00,0,Japan
422,donk666,"1,000",0d 00:01h,0,0,0.00,0,China
423,Cosmicbeam27,"1,000",0d 00:00h,0,0,0.00,0,Indonesia
424,深见夏彦,"1,000",0d 00:00h,0,0,0.00,0,Unknown
425,AlleyBosS,"1,000",0d 00:03h,0,0,0.00,0,Philippines
426,丢雷楼某,"1,000",0d 00:24h,0,0,0.00,0,China
427,gt2r911,"1,000",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
428,ctchen.alex,"1,000",0d 00:12h,0,0,0.00,0,"Taiwan, Province of China"
429,我是流萤的勾,"1,000",0d 00:01h,0,0,0.00,0,China
430,Me,"1,000",0d 00:00h,0,0,0.00,0,Unknown
431,WizLC,"1,000",0d 00:01h,0,0,0.00,0,China
432,beastjoy,"1,000",0d 00:00h,0,0,0.00,0,Unknown
433,坂本竜馬,"1,000",0d 00:01h,0,0,0.00,0,Malaysia
434,Crowley,"1,000",0d 00:00h,0,0,0.00,0,Philippines
435,normalguy,"1,000",0d 00:00h,0,0,0.00,0,Malaysia
436,小莫先生,"1,000",0d 00:00h,0,0,0.00,0,Unknown
437,别再勾引我kaixiang,"1,000",0d 00:00h,0,0,0.00,0,Unknown
438,F4LL3N_H4L0,"1,000",0d 00:02h,0,0,0.00,0,Philippines
439,GAL,"1,000",0d 00:00h,0,0,0.00,0,China
440,n88slq,"1,000",0d 00:00h,0,0,0.00,0,Unknown
441,奈白的雪子,"1,000",0d 00:02h,0,0,0.00,0,China
442,染卿,"1,000",0d 00:00h,0,0,0.00,0,Unknown
443,Aur0ral,"1,000",0d 00:00h,0,0,0.00,0,Unknown
444,stay with me,"1,000",0d 00:00h,0,0,0.00,0,Unknown
445,leonardo,"1,000",0d 00:02h,0,0,0.00,0,China
446,yorangsama,"1,000",0d 00:00h,0,0,0.00,0,Unknown
447,ChiChi77,"1,000",0d 01:02h,0,0,0.00,0,"Taiwan, Province of China"
448,spacecow,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
449,mikunodisappear,"1,000",0d 00:28h,0,0,0.00,0,"Taiwan, Province of China"
450,SaekiYuu,"1,000",0d 00:01h,0,0,0.00,0,China
451,:3 mint chocolate,"1,000",0d 00:06h,0,0,0.00,0,Thailand
452,nmo_zukuto_m2,"1,000",0d 00:04h,0,0,0.00,0,Indonesia
453,任我縱情,"1,000",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
454,Steve,"1,000",0d 00:01h,0,0,0.00,0,China
455,r3nogades,"1,000",0d 00:00h,0,0,0.00,0,Indonesia
456,裙角飞扬,"1,000",0d 00:00h,0,0,0.00,0,Unknown
457,qaz0955987235,"1,000",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
458,百變怪,"1,000",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
459,rhodium101602,"1,000",0d 00:00h,0,0,0.00,0,Unknown
460,卡卡罗特,"1,000",0d 00:10h,0,0,0.00,0,China
461,DrMeeksss,"1,000",0d 00:00h,0,0,0.00,0,Philippines
462,Jeriii,"1,000",0d 00:01h,0,0,0.00,0,Indonesia
463,KnightEagle81,"1,000",0d 00:00h,0,0,0.00,0,Unknown
464,一生只爱邮箱酱,"1,000",0d 00:21h,0,0,0.00,0,China
465,CodeRed,"1,000",0d 00:00h,0,0,0.00,0,Unknown
466,炸鸡块,"1,000",0d 00:02h,0,0,0.00,0,China
467,凉,"1,000",0d 00:00h,0,0,0.00,0,China
468,>烤冷面痧手>Sjk,"1,000",0d 00:00h,0,0,0.00,0,Unknown
469,lzl03032,"1,000",0d 00:03h,0,0,0.00,0,China
470,yz,"1,000",0d 00:00h,0,0,0.00,0,Unknown
471,陈石头,"1,000",0d 00:00h,0,0,0.00,0,China
472,叶子,"1,000",0d 00:00h,0,0,0.00,0,Unknown
473,zaq09700117qaz,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
474,HANS,"1,000",0d 00:01h,0,0,0.00,0,China
475,dypkerai,"1,000",0d 00:01h,0,0,0.00,0,Australia
476,黑龙江点子王,"1,000",0d 00:00h,0,0,0.00,0,Unknown
477,SunnyAleX,"1,000",0d 00:01h,0,0,0.00,0,Australia
478,Aká_JK,"1,000",0d 00:00h,0,0,0.00,0,Unknown
479,sog,"1,000",0d 00:00h,0,0,0.00,0,Unknown
480,坠花烟，烟没一朝风连,"1,000",0d 00:00h,0,0,0.00,0,Unknown
481,JT_Sekeskik,"1,000",0d 00:01h,0,0,0.00,0,Indonesia
482,nk1986362,"1,000",0d 00:02h,0,0,0.00,0,China
483,无畏de寒霜,"1,000",0d 00:00h,0,0,0.00,0,Unknown
484,dombaelectric,"1,000",0d 00:01h,0,0,0.00,0,Indonesia
485,lijian9601,"1,000",0d 00:00h,0,0,0.00,0,Unknown
486,ngh,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
487,Z.,"1,000",0d 00:02h,0,0,0.00,0,Hong Kong
488,您的好友贾队长已上线,"1,000",0d 00:00h,0,0,0.00,0,Unknown
489,小果叮0,"1,000",0d 00:03h,0,0,0.00,0,China
490,"城北徐公,","1,000",0d 00:00h,0,0,0.00,0,Unknown
491,i4everYoU,"1,000",0d 00:01h,0,0,0.00,0,Hong Kong
492,Sisyphus,"1,000",0d 00:00h,0,0,0.00,0,Unknown
493,yao,"1,000",0d 00:00h,0,0,0.00,0,Unknown
494,Reailです,"1,000",0d 00:00h,0,0,0.00,0,Unknown
495,一颗男人草,"1,000",0d 00:00h,0,0,0.00,0,Unknown
496,Zhang Daxiong,"1,000",0d 00:00h,0,0,0.00,0,Unknown
497,windwhisper,"1,000",0d 00:00h,0,0,0.00,0,Unknown
498,小森破..,"1,000",0d 00:02h,0,0,0.00,0,Hong Kong
499,Megloo,"1,000",0d 00:02h,0,0,0.00,0,Australia
500,手上总会有墨呀,"1,000",0d 00:00h,0,0,0.00,0,Unknown
501,k,"1,000",0d 00:00h,0,0,0.00,0,Unknown
502,柚子厨蒸鹅心Ciallo～,"1,000",0d 00:00h,0,0,0.00,0,China
503,Hylissang-senpai,"1,000",0d 00:01h,0,0,0.00,0,Viet Nam
504,轮椅大王,"1,000",0d 00:00h,0,0,0.00,0,Unknown
505,2176467214,"1,000",0d 00:00h,0,0,0.00,0,Unknown
506,lssc,"1,000",0d 00:01h,0,0,0.00,0,China
507,Bot Ivan,"1,000",0d 00:00h,0,0,0.00,0,Indonesia
508,Mr.hope,"1,000",0d 00:00h,0,0,0.00,0,China
509,haidarelwassaja22,"1,000",0d 00:00h,0,0,0.00,0,Unknown
510,tommy740103,"1,000",0d 00:00h,0,0,0.00,0,Unknown
511,MYYBADCUHH,"1,000",0d 00:00h,0,0,0.00,0,Unknown
512,Rain Prince™,"1,000",0d 00:01h,0,0,0.00,0,Indonesia
513,=▽小の杨▽=,"1,000",0d 00:00h,0,0,0.00,0,China
514,Final_中二病,"1,000",0d 00:00h,0,0,0.00,0,Unknown
515,野比大雄,"1,000",0d 00:00h,0,0,0.00,0,Unknown
516,bearman913098,"1,000",0d 00:00h,0,0,0.00,0,Unknown
517,賽富豪,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
518,Twistzz,"1,000",0d 00:01h,0,0,0.00,0,China
519,jupprih,"1,000",0d 00:00h,0,0,0.00,0,Unknown
520,amogus,"1,000",0d 00:00h,0,0,0.00,0,"Korea, Republic of"
521,IzutoID,"1,000",0d 00:01h,0,0,0.00,0,Indonesia
522,sean181,"1,000",0d 00:00h,0,0,0.00,0,Unknown
523,𝒙𝒀𝒏𝒐$,"1,000",0d 00:00h,0,0,0.00,0,China
524,FC:Zarinyap,"1,000",0d 00:00h,0,0,0.00,0,Thailand
525,jvpellogo,"1,000",0d 00:00h,0,0,0.00,0,Unknown
526,媽媽10塊,"1,000",0d 00:01h,0,0,0.00,0,Unknown
527,月,"1,000",0d 00:00h,0,0,0.00,0,Unknown
528,音符,"1,000",0d 00:00h,0,0,0.00,0,Unknown
529,粒寶雞排,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
530,Sniper79,"1,000",0d 00:00h,0,0,0.00,0,Unknown
531,迷鹿の豬排,"1,000",0d 00:00h,0,0,0.00,0,Unknown
532,「うちは おとつ」,"1,000",0d 00:00h,0,0,0.00,0,Unknown
533,Arte Noname,"1,000",0d 00:01h,0,0,0.00,0,Thailand
534,colomater,"1,000",0d 00:00h,0,0,0.00,0,Unknown
535,黑大雕美羊羊,"1,000",0d 00:03h,0,0,0.00,0,China
536,闪闪发光的圣晶冰,"1,000",0d 00:00h,0,0,0.00,0,China
537,(O_o),"1,000",0d 00:01h,0,0,0.00,0,China
538,棗イロハ世界一かわい,"1,000",0d 00:02h,0,0,0.00,0,China
539,zrsers,"1,000",0d 00:04h,0,0,0.00,0,"Taiwan, Province of China"
540,炽天使,"1,000",0d 00:00h,0,0,0.00,0,China
541,梅逝男孩,"1,000",0d 00:00h,0,0,0.00,0,Unknown
542,nopphadon.am,"1,000",0d 00:00h,0,0,0.00,0,Unknown
543,RyuMiChin,"1,000",0d 00:00h,0,0,0.00,0,Unknown
544,教练，带带萌新吧,"1,000",0d 00:02h,0,0,0.00,0,China
545,santa,"1,000",0d 00:00h,0,0,0.00,0,Unknown
546,ddy,"1,000",0d 00:00h,0,0,0.00,0,Unknown
547,I LUV CLEO,"1,000",0d 00:00h,0,0,0.00,0,Philippines
548,不骂人,"1,000",0d 00:00h,0,0,0.00,0,Unknown
549,苏氏阿七,"1,000",0d 00:02h,0,0,0.00,0,China
550,weewii,"1,000",0d 00:03h,0,0,0.00,0,Malaysia
551,DoDoRex,"1,000",0d 00:00h,0,0,0.00,0,China
552,Tanh,"1,000",0d 00:00h,0,0,0.00,0,Unknown
553,mmm,"1,000",0d 00:00h,0,0,0.00,0,Unknown
554,一只不想死的猫,"1,000",0d 00:00h,0,0,0.00,0,Unknown
555,晚风,"1,000",0d 00:00h,0,0,0.00,0,Unknown
556,不知名的树灯,"1,000",0d 00:00h,0,0,0.00,0,Unknown
557,MLGsniper404,"1,000",0d 00:03h,0,0,0.00,0,Australia
558,D&Z,"1,000",0d 00:00h,0,0,0.00,0,Unknown
559,john_5011,"1,000",0d 00:31h,0,0,0.00,0,"Taiwan, Province of China"
560,Nosferatu,"1,000",0d 00:02h,0,0,0.00,0,Indonesia
561,BOT',"1,000",0d 00:00h,0,0,0.00,0,Unknown
562,奈,"1,000",0d 00:00h,0,0,0.00,0,Unknown
563,m6263775,"1,000",0d 00:00h,0,0,0.00,0,Unknown
564,莎莎,"1,000",0d 00:00h,0,0,0.00,0,Unknown
565,japjapanava,"1,000",0d 00:00h,0,0,0.00,0,Philippines
566,Tim,"1,000",0d 00:00h,0,0,0.00,0,Unknown
567,ff.ducmanh1302,"1,000",0d 00:00h,0,0,0.00,0,Unknown
568,ΩR€Δ,"1,000",0d 00:00h,0,0,0.00,0,Unknown
569,玩游戏别魔怔,"1,000",0d 00:02h,0,0,0.00,0,China
570,gaming_noob,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
571,Razeq,"1,000",0d 00:02h,0,0,0.00,0,Indonesia
572,lvy,"1,000",0d 00:01h,0,0,0.00,0,China
573,qwq!,"1,000",0d 00:00h,0,0,0.00,0,Unknown
574,--李老板--,"1,000",0d 00:00h,0,0,0.00,0,Unknown
575,kufvh,"1,000",0d 00:00h,0,0,0.00,0,Unknown
576,射手座 艾奧羅斯㍿,"1,000",0d 00:00h,0,0,0.00,0,Unknown
577,สวัสดีครับ,"1,000",0d 00:00h,0,0,0.00,0,Unknown
578,Plutonium 239,"1,000",0d 00:01h,0,0,0.00,0,Malaysia
579,V,"1,000",0d 00:00h,0,0,0.00,0,Unknown
580,XANTARESPEEK ✪︎隨時都可能死去，,"1,000",0d 00:00h,0,0,0.00,0,Philippines
581,tserof,"1,000",0d 00:00h,0,0,0.00,0,China
582,烈烈小猪丶,"1,000",0d 00:00h,0,0,0.00,0,Unknown
583,徐水谢霆锋,"1,000",0d 00:00h,0,0,0.00,0,China
584,guan 大冠,"1,000",0d 00:00h,0,0,0.00,0,Unknown
585,SteamDB Hairul Azzuan,"1,000",0d 00:01h,0,0,0.00,0,Malaysia
586,翻斗花园10栋恶霸,"1,000",0d 00:01h,0,0,0.00,0,China
587,这是重生，你也可以叫倀,"1,000",0d 00:00h,0,0,0.00,0,Unknown
588,-=vengum=-,"1,000",0d 00:00h,0,0,0.00,0,Unknown
589,3476740199,"1,000",0d 00:00h,0,0,0.00,0,China
590,电脑玩家明,"1,000",0d 00:03h,0,0,0.00,0,China
591,Maserati,"1,000",0d 00:00h,0,0,0.00,0,Unknown
592,pang,"1,000",0d 00:01h,0,0,0.00,0,Malaysia
593,无敌最俊朗,"1,000",0d 00:01h,0,0,0.00,0,China
594,NICK.,"1,000",0d 00:00h,0,0,0.00,0,Unknown
595,Яньян,"1,000",0d 00:01h,0,0,0.00,0,Philippines
596,C4RLOS LIGHTNING BOLD,"1,000",0d 00:02h,0,0,0.00,0,Philippines
597,Recomnd31,"1,000",0d 00:00h,0,0,0.00,0,Unknown
598,GASH,"1,000",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
599,0oRainbowo0,"1,000",0d 00:00h,0,0,0.00,0,Unknown
600,ฅ•ᴥ•ฅ sumimi,"1,000",0d 00:00h,0,0,0.00,0,Unknown
601,感觉不如冲,"1,000",0d 00:01h,0,0,0.00,0,Hong Kong
602,a1027z,"1,000",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
603,arhxiang990,"1,000",0d 00:02h,0,0,0.00,0,Malaysia
604,pan_sergey02,"1,000",0d 00:02h,0,0,0.00,0,"Korea, Republic of"
605,Jaaydopotato,"1,000",0d 00:01h,0,0,0.00,0,Australia
606,Beautiful Boy,"1,000",0d 00:01h,0,0,0.00,0,Hong Kong
607,卖报的小当家,"1,000",0d 00:00h,0,0,0.00,0,Unknown
608,"十年老兵,给我发把大狙","1,000",0d 00:00h,0,0,0.00,0,Unknown
609,amy,"1,000",0d 00:00h,0,0,0.00,0,Unknown
610,trinhhieuphuong2802,"1,000",0d 00:00h,0,0,0.00,0,Unknown
611,MIXHIU,"1,000",0d 00:02h,0,0,0.00,0,China
612,绿水会GTC Jotaro Kujo,"1,000",0d 00:01h,0,0,0.00,0,China
613,RencYYY,"1,000",0d 00:01h,0,0,0.00,0,Philippines
614,gloria89biolabell,"1,000",0d 00:00h,0,0,0.00,0,Malaysia
615,Castor,"1,000",0d 00:00h,0,0,0.00,0,Unknown
616,Fc tf2los.,"1,000",0d 00:00h,0,0,0.00,0,Unknown
617,yep,"1,000",0d 00:03h,0,0,0.00,0,Thailand
618,能力越小 責任越小,"1,000",0d 00:00h,0,0,0.00,0,Unknown
619,Noobster,"1,000",0d 00:00h,0,0,0.00,0,Unknown
620,PATUR,"1,000",0d 00:03h,0,0,0.00,0,Indonesia
621,17,"1,000",0d 00:01h,0,0,0.00,0,Viet Nam
622,Sumpo,"1,000",0d 00:00h,0,0,0.00,0,Unknown
623,Gosu,"1,000",0d 00:00h,0,0,0.00,0,Unknown
624,Xiphias,"1,000",0d 00:00h,0,0,0.00,0,Unknown
625,日薄西山,999,0d 00:13h,9,10,0.90,7,China
626,Luxia,999,0d 00:01h,0,1,0.00,0,China
627,spongebob na bisaya,998,0d 00:01h,0,1,0.00,0,Philippines
628,wtao96586,998,0d 00:05h,0,1,0.00,0,Hong Kong
629,HemoA,998,0d 00:04h,0,1,0.00,0,China
630,sign,997,0d 00:02h,0,1,0.00,0,Hong Kong
631,dollar3minecraft,996,0d 00:01h,0,2,0.00,0,Thailand
632,小猫,995,0d 00:01h,0,1,0.00,0,China
633,(-MAF-) MrMattSosig,995,0d 00:02h,0,1,0.00,0,Philippines
634,这种扇贝就应该爆炒然倀,995,0d 00:06h,0,2,0.00,0,China
635,.CEGamer SaigonPete,995,0d 00:03h,0,1,0.00,0,Viet Nam
636,Evangelicy,994,0d 00:02h,1,3,0.33,1,Philippines
637,lmdang300714,994,0d 00:24h,0,2,0.00,0,Viet Nam
638,vioversusrigit,992,0d 00:08h,5,9,0.56,2,Malaysia
639,Fat daddy,992,0d 00:09h,1,13,0.08,1,"Taiwan, Province of China"
640,ŘUF̌ | Bob,992,0d 00:04h,0,3,0.00,0,"Taiwan, Province of China"
641,WUTAI,990,0d 00:04h,0,5,0.00,0,"Taiwan, Province of China"
642,Sherbet,989,0d 00:02h,0,3,0.00,0,New Zealand
643,烈焰熊大戰士,989,0d 00:02h,0,4,0.00,0,"Taiwan, Province of China"
644,StrippedBacon,988,0d 00:20h,12,29,0.41,5,Philippines
645,VANDAN035,988,0d 00:03h,0,3,0.00,0,Australia
646,Rates,985,0d 00:06h,0,3,0.00,0,Australia
647,jinkljsa,982,0d 00:05h,3,10,0.30,1,China
648,FreakyAtom,982,0d 00:07h,1,7,0.14,0,New Zealand
649,我刚玩这游戏,970,0d 00:10h,0,12,0.00,0,China
