Rank,Name,Points,Game Time,Kills,Deaths,Kpd,Hs,Country
289,Kan（カン）,"1,020",0d 00:06h,0,0,0.00,0,Viet Nam
290,痛苦达摩,"1,020",0d 00:02h,0,0,0.00,0,China
291,队长别开枪！是我！,"1,020",0d 00:02h,0,0,0.00,0,Hong Kong
292,Juan Pablo Montoya,"1,018",0d 00:08h,1,12,0.08,0,China
293,Nodrog,"1,018",0d 00:05h,0,1,0.00,0,Australia
294,哑聋瞎瘸 小屁孩,"1,017",0d 00:01h,3,1,3.00,0,China
295,de-nik,"1,017",0d 00:10h,1,4,0.25,0,Russian Federation
296,名声,"1,017",0d 00:02h,0,0,0.00,0,China
297,Bjornnn97,"1,017",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
298,masterplanet505,"1,017",0d 00:02h,0,0,0.00,0,Thailand
299,𝕿𝖆𝖓♧,"1,017",0d 00:10h,0,0,0.00,0,Thailand
300,Janda Hunter,"1,016",0d 00:05h,0,0,0.00,0,Malaysia
301,柠檬派第一勇猛机枪兵,"1,016",0d 00:02h,0,0,0.00,0,China
302,Pwenias,"1,016",0d 00:03h,0,0,0.00,0,Australia
303,BOSS,"1,016",0d 00:11h,0,1,0.00,0,"Taiwan, Province of China"
304,jolyne?,"1,016",0d 00:08h,0,3,0.00,0,Viet Nam
305,Dante,"1,016",0d 00:03h,0,0,0.00,0,Russian Federation
306,NoUsE/AlaC,"1,016",0d 00:02h,0,0,0.00,0,Australia
307,DONEDAVE,"1,016",0d 00:02h,0,0,0.00,0,China
308,SIope,"1,015",0d 00:05h,2,3,0.67,1,United States
309,五府堂/十三少保,"1,015",0d 00:04h,2,5,0.40,0,China
310,咸湿保姆贱婴儿丶,"1,015",0d 00:02h,0,0,0.00,0,China
311,solar,"1,015",0d 00:02h,0,0,0.00,0,New Zealand
312,B站饼干ya,"1,015",0d 00:04h,0,0,0.00,0,China
313,Fr0g☂,"1,015",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
314,abdeereds,"1,015",0d 00:19h,0,0,0.00,0,Indonesia
315,kygo,"1,015",0d 00:03h,0,0,0.00,0,China
316,1635673895,"1,015",0d 00:09h,0,0,0.00,0,China
317,SL1WA_MARL0W,"1,015",0d 00:05h,0,0,0.00,0,"Korea, Republic of"
318,SempakKobra,"1,015",0d 00:05h,0,0,0.00,0,Indonesia
319,RZK,"1,015",0d 00:03h,0,0,0.00,0,Indonesia
320,雪乃的白子,"1,015",0d 00:01h,0,0,0.00,0,China
321,Cheesemasher,"1,015",0d 00:05h,0,0,0.00,0,"Taiwan, Province of China"
322,窝瓜,"1,015",0d 00:02h,0,0,0.00,0,China
323,MR.sins,"1,015",0d 00:05h,0,0,0.00,0,Unknown
324,翔,"1,015",0d 00:03h,0,0,0.00,0,China
325,sage652124,"1,015",0d 00:06h,0,0,0.00,0,China
326,AndersonLiu,"1,015",0d 00:04h,0,0,0.00,0,"Taiwan, Province of China"
327,-=Dx=- ✪Master→βation✪,"1,014",0d 00:09h,3,10,0.30,1,"Taiwan, Province of China"
328,Tanaton,"1,013",0d 00:03h,2,5,0.40,1,Thailand
329,barrsan,"1,013",0d 00:03h,0,1,0.00,0,Singapore
330,pp456,"1,013",0d 00:15h,0,3,0.00,0,China
331,ljames110110,"1,012",0d 00:10h,0,0,0.00,0,Australia
332,ron12,"1,011",0d 00:02h,0,0,0.00,0,Philippines
333,Doodles ♛,"1,010",0d 00:02h,2,1,2.00,0,New Zealand
334,Arale,"1,010",0d 00:02h,1,0,1.00,0,"Taiwan, Province of China"
335,fREEZIN,"1,010",0d 00:04h,1,0,1.00,0,Saudi Arabia
336,Syazwan_1,"1,009",0d 01:10h,10,9,1.11,7,Malaysia
337,illil,"1,009",0d 00:00h,1,1,1.00,1,China
338,苏坡满,"1,008",0d 00:04h,1,1,1.00,1,China
339,Mathsniper,"1,008",0d 00:04h,1,1,1.00,1,Macao
340,asdf123,"1,008",0d 00:05h,0,4,0.00,0,China
341,喇嚨,"1,007",0d 00:25h,2,5,0.40,0,"Taiwan, Province of China"
342,飒飒,"1,006",0d 00:02h,2,3,0.67,2,China
343,LV.1,"1,006",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
344,龙诚^^,"1,006",0d 00:02h,0,0,0.00,0,China
345,aaay,"1,006",0d 00:04h,0,0,0.00,0,China
346,KarriGan,"1,006",0d 00:01h,0,0,0.00,0,China
347,Timmu Somjoy,"1,006",0d 00:04h,0,0,0.00,0,Thailand
348,lgb1305936,"1,006",0d 00:06h,0,0,0.00,0,China
349,（。人。）ლ（´∀`ლ,"1,005",0d 00:02h,1,0,1.00,1,"Taiwan, Province of China"
350,Yuzu,"1,005",0d 00:03h,1,3,0.33,0,Philippines
351,fengzhigu,"1,005",0d 00:02h,0,0,0.00,0,China
352,mailman,"1,005",0d 00:04h,0,0,0.00,0,Philippines
353,MANILAJAY,"1,005",0d 00:03h,0,0,0.00,0,Philippines
354,かすがのそら,"1,005",0d 00:04h,0,1,0.00,0,China
355,Yoreii,"1,005",0d 00:02h,0,0,0.00,0,China
356,Blydogidogg,"1,005",0d 00:02h,0,1,0.00,0,Philippines
357,Luna♥,"1,005",0d 00:10h,0,0,0.00,0,Philippines
358,Kremzlik,"1,003",0d 00:02h,0,2,0.00,0,China
359,上学忘带餐具了，哥哥倀,"1,002",0d 00:02h,2,2,1.00,0,China
360,姜姜,"1,002",0d 00:01h,0,0,0.00,0,China
361,Tho san bach kim,"1,002",0d 00:01h,0,0,0.00,0,Viet Nam
362,宝宝,"1,001",0d 00:02h,0,0,0.00,0,China
363,樱道,"1,001",0d 00:00h,0,0,0.00,0,Unknown
364,dungra,"1,001",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
365,Juan_zhou,"1,001",0d 00:04h,0,0,0.00,0,China
366,RuggedStool,"1,001",0d 00:02h,0,0,0.00,0,Australia
367,sjzshmh,"1,001",0d 00:01h,0,0,0.00,0,China
368,vvarsani,"1,001",0d 00:01h,0,0,0.00,0,Australia
369,DB_Toc,"1,001",0d 00:01h,0,0,0.00,0,China
370,Andrew,"1,001",0d 00:05h,0,0,0.00,0,Indonesia
371,ЅPiRiT ™ | 0.03ms香蕉,"1,001",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
372,hagiaminh1411,"1,001",0d 00:02h,0,0,0.00,0,Viet Nam
373,Jeff Nobu,"1,001",0d 00:01h,0,0,0.00,0,"Taiwan, Province of China"
374,新手請見諒,"1,001",0d 00:01h,0,0,0.00,0,"Taiwan, Province of China"
375,Chris,"1,001",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
376,Elopez,"1,001",0d 00:01h,0,0,0.00,0,China
377,salimbaranov82,"1,001",0d 00:08h,0,0,0.00,0,China
378,方大帅,"1,001",0d 00:01h,0,0,0.00,0,China
379,桃酥,"1,001",0d 00:00h,0,0,0.00,0,China
380,wtf,"1,001",0d 00:00h,0,0,0.00,0,China
381,饭醉分子,"1,001",0d 00:02h,0,0,0.00,0,China
382,Noobgamer610,"1,001",0d 00:04h,0,0,0.00,0,Philippines
383,SPEEDDEMON tenz jr. (phoon),"1,001",0d 00:01h,0,0,0.00,0,Philippines
384,LEESEO,"1,001",0d 00:02h,0,0,0.00,0,Thailand
385,Mr.Pedobear ver. 86000,"1,001",0d 00:01h,0,0,0.00,0,Thailand
386,腿毛拔河,"1,001",0d 00:03h,0,0,0.00,0,China
387,Corona,"1,001",0d 00:01h,0,0,0.00,0,Australia
388,phunguyen07,"1,001",0d 00:00h,0,0,0.00,0,Viet Nam
389,бателе бату,"1,001",0d 00:02h,0,0,0.00,0,Philippines
390,B哥,"1,001",0d 00:01h,0,0,0.00,0,China
391,yung kage 死 BESTARD,"1,001",0d 00:00h,0,0,0.00,0,Russian Federation
392,E1n,"1,001",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
393,tone,"1,001",0d 00:00h,0,0,0.00,0,Philippines
394,Sinigang,"1,001",0d 00:01h,0,0,0.00,0,Philippines
395,jzysznd,"1,001",0d 00:01h,0,0,0.00,0,China
396,ПРЕКРАСНО,"1,001",0d 00:01h,0,0,0.00,0,Russian Federation
